                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0953,                  1.135,                 1.3431,                0.82634,                 0.7777,                 0.8696,                0.65067,                0.99713,                0.86112,                   1.27,              0.0004737,              0.0004737,              0.0004737
                      2,                 1.1482,                 1.2661,                 1.3841,                0.79121,                0.72419,                0.81645,                0.58897,                 1.0932,                 1.0298,                 1.3489,             0.00092316,             0.00092316,             0.00092316
                      3,                 1.2167,                 1.3765,                  1.423,                0.71411,                0.60854,                0.71172,                0.49239,                 1.2113,                 1.3559,                 1.4514,              0.0013457,              0.0013457,              0.0013457
                      4,                 1.2499,                 1.4277,                 1.4479,                0.74456,                0.65576,                 0.7463,                0.49977,                 1.2594,                 1.3439,                 1.4584,              0.0013077,              0.0013077,              0.0013077
                      5,                 1.2537,                 1.4178,                 1.4492,                0.77117,                0.70025,                0.78552,                0.54104,                 1.1826,                 1.0832,                 1.4322,              0.0013077,              0.0013077,              0.0013077
                      6,                 1.2497,                 1.3893,                 1.4498,                0.76065,                0.67992,                0.77335,                0.52465,                 1.2062,                 1.1229,                 1.4221,              0.0012673,              0.0012673,              0.0012673
                      7,                 1.2258,                 1.3537,                  1.436,                0.81424,                0.72253,                0.82092,                0.58101,                 1.1355,                 1.0033,                 1.3723,              0.0012269,              0.0012269,              0.0012269
                      8,                  1.185,                 1.3109,                 1.4122,                 0.7754,                0.70504,                0.79587,                0.57097,                 1.0909,                 1.0635,                 1.3574,              0.0011865,              0.0011865,              0.0011865
                      9,                 1.1724,                 1.2772,                 1.3933,                0.80763,                0.75391,                 0.8352,                0.60413,                 1.0991,                0.93214,                 1.3548,              0.0011461,              0.0011461,              0.0011461
                     10,                 1.1596,                 1.2646,                 1.3873,                0.80489,                0.75329,                0.83821,                 0.6018,                 1.0979,                0.95452,                 1.3346,              0.0011056,              0.0011056,              0.0011056
                     11,                  1.129,                 1.1885,                 1.3715,                0.82239,                0.75156,                0.83676,                0.60007,                 1.0829,                0.96402,                 1.3356,              0.0010652,              0.0010652,              0.0010652
                     12,                 1.1249,                 1.1799,                 1.3654,                0.82693,                0.77235,                0.86523,                0.62733,                 1.0465,                0.89833,                 1.3087,              0.0010248,              0.0010248,              0.0010248
                     13,                 1.1255,                  1.169,                 1.3694,                0.85625,                0.77555,                0.86848,                0.63549,                 1.0489,                0.86073,                 1.2985,             0.00098438,             0.00098438,             0.00098438
                     14,                 1.1132,                 1.1531,                 1.3623,                 0.8709,                0.79135,                0.88589,                0.65995,                 1.0137,                0.82751,                 1.2931,             0.00094396,             0.00094396,             0.00094396
                     15,                 1.0895,                 1.1147,                 1.3443,                0.87743,                 0.8177,                0.89614,                0.67375,                 0.9948,                0.76754,                  1.255,             0.00090354,             0.00090354,             0.00090354
                     16,                 1.0862,                  1.123,                 1.3385,                0.86326,                0.82099,                0.89605,                0.67646,                0.98897,                0.80712,                 1.2492,             0.00086312,             0.00086312,             0.00086312
                     17,                 1.0751,                 1.0855,                 1.3338,                0.87556,                0.81082,                0.90232,                 0.6891,                 0.9538,                0.77985,                 1.2283,              0.0008227,              0.0008227,              0.0008227
