                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85115,                0.95436,                 1.2893,                0.89203,                0.84998,                0.91993,                0.73804,                0.74755,                0.61239,                 1.1749,             0.00047492,             0.00047492,             0.00047492
                      2,                0.90219,                 1.0414,                 1.3208,                0.86312,                0.80177,                0.88963,                0.68056,                0.82126,                0.75185,                 1.2442,             0.00090417,             0.00090417,             0.00090417
                      3,                 0.9631,                 1.1588,                 1.3664,                 0.8217,                0.76066,                0.84863,                0.62774,                0.91796,                0.87394,                 1.3263,              0.0012863,              0.0012863,              0.0012863
                      4,                0.99433,                 1.1985,                 1.3912,                0.81093,                0.76561,                0.85174,                  0.631,                0.92368,                0.86617,                 1.3347,              0.0012168,              0.0012168,              0.0012168
                      5,                0.97185,                 1.1619,                 1.3732,                0.79103,                0.75089,                0.82458,                0.60384,                0.93801,                0.90573,                 1.3634,              0.0012168,              0.0012168,              0.0012168
                      6,                0.96676,                 1.1504,                 1.3623,                0.83683,                0.78026,                 0.8648,                0.64561,                0.90343,                 0.8293,                 1.3129,              0.0011461,              0.0011461,              0.0011461
                      7,                0.95505,                  1.119,                 1.3548,                0.80769,                 0.7768,                0.85751,                0.63584,                 0.9035,                0.83538,                 1.3272,              0.0010753,              0.0010753,              0.0010753
                      8,                0.93935,                 1.0909,                 1.3516,                0.86242,                0.79621,                0.88661,                0.67625,                  0.856,                0.74558,                 1.2759,              0.0010046,              0.0010046,              0.0010046
                      9,                 0.9357,                 1.0713,                 1.3442,                0.88053,                0.79872,                0.89099,                  0.681,                0.83176,                0.72511,                 1.2638,             0.00093385,             0.00093385,             0.00093385
                     10,                0.90895,                 1.0414,                 1.3238,                0.86758,                0.81019,                0.89115,                0.68149,                0.82784,                0.72485,                 1.2523,             0.00086312,             0.00086312,             0.00086312
                     11,                0.82774,                0.80745,                 1.3005,                0.87857,                0.82472,                0.90253,                0.70114,                0.79543,                0.66797,                 1.2205,             0.00079238,             0.00079238,             0.00079238
                     12,                0.80398,                 0.7478,                 1.2809,                0.87178,                0.83704,                0.90593,                0.71524,                 0.7675,                0.64972,                 1.1982,             0.00072164,             0.00072164,             0.00072164
                     13,                0.77904,                0.72376,                 1.2525,                0.89491,                0.85747,                0.92469,                0.73584,                0.74223,                0.59024,                  1.162,             0.00065091,             0.00065091,             0.00065091
                     14,                0.74378,                0.67818,                 1.2244,                0.90903,                0.87068,                0.93417,                0.75826,                0.70174,                0.55772,                 1.1246,             0.00058017,             0.00058017,             0.00058017
                     15,                 0.7234,                 0.6301,                 1.2032,                0.90793,                0.87877,                0.93821,                0.77205,                0.67507,                0.52048,                 1.1099,             0.00050944,             0.00050944,             0.00050944
                     16,                0.70921,                0.61166,                 1.1988,                0.92298,                0.89433,                0.94609,                 0.7886,                0.65509,                0.50225,                 1.0889,              0.0004387,              0.0004387,              0.0004387
                     17,                0.67664,                0.58166,                 1.1686,                0.92785,                 0.9045,                0.95143,                0.79281,                0.63415,                0.47755,                 1.0709,             0.00036797,             0.00036797,             0.00036797
                     18,                0.66268,                0.55223,                 1.1565,                0.93137,                0.90425,                0.95452,                0.80178,                 0.6195,                0.45953,                 1.0559,             0.00029723,             0.00029723,             0.00029723
                     19,                 0.6365,                 0.5207,                 1.1392,                0.94288,                0.91062,                0.95838,                0.81231,                 0.6037,                0.43198,                 1.0435,              0.0002265,              0.0002265,              0.0002265
                     20,                0.61867,                0.48799,                 1.1271,                0.94819,                0.91896,                0.96204,                0.82371,                0.58987,                0.41261,                 1.0297,             0.00015576,             0.00015576,             0.00015576
