                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2613,                 2.0968,                 1.5906,                0.42239,                0.37945,                0.33314,                0.14729,                 1.8021,                 2.3458,                 2.2914,             0.00047492,             0.00047492,             0.00047492
                      2,                 1.4653,                 2.1451,                 1.7541,                0.34689,                0.31373,                0.25427,                0.11719,                 1.9528,                 2.7302,                 2.5073,             0.00092435,             0.00092435,             0.00092435
                      3,                 1.4822,                 2.1884,                 1.7833,                0.39028,                0.37998,                0.30473,                0.14329,                 1.7145,                 2.7485,                 2.1527,              0.0013468,              0.0013468,              0.0013468
                      4,                  1.433,                 2.1176,                 1.7488,                 0.5174,                0.43573,                 0.4438,                0.22471,                 1.6524,                 2.1228,                 2.0726,              0.0013077,              0.0013077,              0.0013077
                      5,                 1.3283,                 1.9328,                 1.6645,                0.53425,                0.48918,                0.49545,                0.27793,                 1.5006,                 1.9055,                  1.972,              0.0013077,              0.0013077,              0.0013077
                      6,                 1.2874,                 1.8546,                 1.6196,                0.63646,                0.52536,                0.58608,                0.34279,                 1.4013,                 1.6544,                 1.8121,              0.0012673,              0.0012673,              0.0012673
                      7,                 1.2462,                 1.7711,                 1.5925,                0.62189,                0.52489,                0.58404,                0.35329,                 1.3429,                 1.6982,                 1.7658,              0.0012269,              0.0012269,              0.0012269
                      8,                 1.2178,                 1.6815,                 1.5749,                0.68449,                0.56748,                0.65037,                0.39196,                 1.3582,                 1.4964,                 1.7796,              0.0011865,              0.0011865,              0.0011865
                      9,                 1.1941,                  1.628,                 1.5521,                 0.6597,                0.55741,                0.62876,                0.37962,                 1.3168,                 1.5668,                 1.7547,              0.0011461,              0.0011461,              0.0011461
                     10,                 1.1499,                 1.5783,                 1.5244,                0.73136,                0.60701,                0.69636,                0.45341,                 1.1788,                 1.3899,                 1.5955,              0.0011056,              0.0011056,              0.0011056
                     11,                 1.1213,                 1.5128,                 1.4978,                0.74574,                0.62084,                0.71429,                0.47725,                 1.1574,                 1.2957,                 1.5774,              0.0010652,              0.0010652,              0.0010652
                     12,                  1.107,                 1.4721,                 1.4876,                0.74425,                0.63647,                0.73267,                0.49144,                 1.1488,                 1.2337,                 1.5699,              0.0010248,              0.0010248,              0.0010248
                     13,                 1.0757,                 1.4272,                 1.4585,                0.74857,                 0.6508,                0.74089,                 0.5077,                 1.1011,                 1.1612,                 1.5156,             0.00098438,             0.00098438,             0.00098438
                     14,                 1.0618,                 1.3906,                 1.4485,                0.77055,                0.67524,                0.77701,                0.53976,                  1.051,                 1.1028,                 1.4889,             0.00094396,             0.00094396,             0.00094396
                     15,                 1.0433,                 1.3496,                 1.4379,                0.77544,                0.70688,                0.79303,                0.55578,                  1.037,                 1.0486,                 1.4512,             0.00090354,             0.00090354,             0.00090354
