                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.96215,                 0.9914,                 1.3592,                 0.7848,                0.67806,                0.75322,                0.52403,                 1.2115,                0.99463,                 1.6243,             0.00038507,             0.00038507,             0.00038507
                     35,                0.95415,                0.99308,                 1.3527,                0.84418,                0.63877,                0.76175,                0.52673,                 1.2072,                0.98704,                 1.6146,             0.00036307,             0.00036307,             0.00036307
                     36,                0.95025,                 0.9687,                 1.3515,                0.81348,                0.66786,                0.76079,                0.53422,                 1.2017,                0.98079,                 1.6139,             0.00034108,             0.00034108,             0.00034108
                     37,                0.94063,                0.94503,                 1.3457,                0.80859,                0.67706,                0.75904,                0.53053,                  1.206,                0.98257,                 1.6179,             0.00031908,             0.00031908,             0.00031908
                     38,                0.92863,                0.93996,                 1.3344,                 0.8114,                0.67386,                0.76299,                 0.5369,                 1.1857,                0.97327,                 1.6001,             0.00029708,             0.00029708,             0.00029708
                     39,                0.92815,                0.92633,                 1.3311,                 0.8286,                0.66933,                0.76081,                0.53815,                 1.1914,                0.96471,                 1.6004,             0.00027508,             0.00027508,             0.00027508
                     40,                0.91815,                0.91986,                  1.323,                0.83065,                0.68439,                0.77325,                0.54383,                 1.1875,                0.96477,                 1.6074,             0.00025309,             0.00025309,             0.00025309
                     41,                0.82971,                0.65817,                 1.2634,                0.84806,                0.66916,                0.77139,                0.54328,                 1.1873,                  0.967,                 1.6067,             0.00023109,             0.00023109,             0.00023109
                     42,                0.81528,                0.62958,                 1.2566,                0.85374,                0.67012,                 0.7755,                0.55315,                 1.1778,                0.94742,                  1.603,             0.00020909,             0.00020909,             0.00020909
                     43,                0.80216,                0.61137,                 1.2502,                 0.8459,                0.66857,                0.76594,                 0.5486,                 1.1694,                0.96858,                 1.5957,             0.00018709,             0.00018709,             0.00018709
                     44,                0.78657,                0.59427,                  1.229,                0.83518,                0.67539,                0.76851,                0.55043,                 1.1783,                0.94469,                 1.6105,             0.00016509,             0.00016509,             0.00016509
                     45,                0.77674,                0.58153,                 1.2238,                0.84495,                0.68166,                0.77345,                0.55333,                 1.1691,                0.94823,                 1.6005,              0.0001431,              0.0001431,              0.0001431
                     46,                 0.7607,                0.56811,                 1.2123,                0.84958,                 0.6689,                0.76735,                0.55004,                 1.1705,                 0.9512,                 1.6105,              0.0001211,              0.0001211,              0.0001211
                     47,                0.75412,                0.55906,                 1.2061,                0.86825,                0.67665,                0.77077,                0.55439,                 1.1689,                0.94532,                 1.6078,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.74724,                0.54107,                 1.2001,                0.83563,                0.68604,                0.77137,                 0.5533,                 1.1716,                0.94495,                 1.6066,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.73435,                 0.5356,                 1.1914,                 0.8319,                0.68993,                 0.7722,                0.55429,                 1.1678,                0.94141,                 1.6047,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.72637,                0.52841,                  1.182,                0.83787,                0.68764,                0.77295,                0.55507,                 1.1681,                0.94324,                  1.607,             3.3108e-05,             3.3108e-05,             3.3108e-05
