                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3734,                 2.1386,                 1.5365,                0.44914,                0.40491,                 0.4041,                0.19768,                 1.7351,                  3.548,                 2.0071,              0.0004737,              0.0004737,              0.0004737
                      2,                 1.5876,                 2.1052,                 1.7006,                0.30169,                0.32914,                0.21862,                0.09915,                 1.8987,                 2.9192,                 2.1567,             0.00091241,             0.00091241,             0.00091241
                      3,                 1.6427,                 2.1779,                 1.7421,                0.26817,                0.35994,                0.23879,                0.11473,                 1.9063,                 2.6798,                 2.1471,              0.0013134,              0.0013134,              0.0013134
                      4,                 1.5926,                 2.1236,                 1.7112,                0.56107,                 0.3764,                0.41033,                0.22262,                 1.6853,                 2.4162,                 1.9126,              0.0012592,              0.0012592,              0.0012592
                      5,                 1.5811,                 2.0274,                 1.6893,                0.47987,                0.38741,                0.38247,                0.18903,                 1.7997,                  2.387,                 2.0806,              0.0012592,              0.0012592,              0.0012592
                      6,                 1.5222,                 1.9151,                 1.6626,                0.64522,                0.49519,                0.56252,                 0.3238,                 1.5891,                 1.7721,                 1.8167,              0.0012026,              0.0012026,              0.0012026
                      7,                 1.4742,                 1.8501,                 1.6266,                0.64883,                0.50692,                0.57934,                0.35388,                 1.4818,                 1.6567,                 1.7197,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.4182,                 1.7689,                 1.5848,                0.60777,                0.51967,                0.56245,                0.33008,                 1.4596,                 1.7193,                  1.692,              0.0010895,              0.0010895,              0.0010895
                      9,                 1.3856,                 1.6858,                 1.5512,                0.70398,                0.59018,                0.67031,                0.42921,                 1.3491,                 1.4204,                 1.5825,              0.0010329,              0.0010329,              0.0010329
                     10,                 1.3341,                 1.6271,                 1.5212,                0.67605,                0.60012,                0.66485,                0.41258,                 1.3624,                 1.4241,                 1.5585,             0.00097629,             0.00097629,             0.00097629
                     11,                 1.3021,                 1.5376,                 1.5004,                0.75251,                0.59804,                0.70189,                0.45725,                 1.2864,                 1.3813,                 1.5297,              0.0009197,              0.0009197,              0.0009197
                     12,                 1.2951,                 1.5053,                 1.4868,                0.72909,                0.63643,                0.73224,                0.47493,                 1.2761,                 1.2814,                 1.5097,             0.00086312,             0.00086312,             0.00086312
                     13,                 1.2665,                 1.4796,                 1.4743,                0.73842,                0.66741,                0.75836,                0.52325,                 1.2055,                 1.1849,                 1.4479,             0.00080653,             0.00080653,             0.00080653
                     14,                 1.2577,                 1.4292,                 1.4656,                0.77065,                0.65496,                0.75484,                0.52257,                 1.2007,                 1.1783,                 1.4389,             0.00074994,             0.00074994,             0.00074994
                     15,                 1.2141,                 1.3935,                 1.4397,                0.79334,                0.70068,                0.79961,                0.55595,                 1.1781,                 1.0787,                 1.4065,             0.00069335,             0.00069335,             0.00069335
                     16,                 1.1898,                 1.2432,                 1.4665,                0.80386,                0.71161,                0.81483,                 0.5806,                 1.1121,                 1.0498,                 1.3769,             0.00063676,             0.00063676,             0.00063676
                     17,                 1.1528,                 1.1323,                 1.4213,                0.77632,                0.74529,                0.81308,                0.58332,                  1.094,                 1.0175,                  1.344,             0.00058017,             0.00058017,             0.00058017
                     18,                 1.1214,                  1.079,                 1.4126,                0.83555,                0.77029,                0.85815,                0.63845,                 1.0412,                0.89451,                 1.3113,             0.00052359,             0.00052359,             0.00052359
                     19,                 1.0865,                 1.0246,                  1.375,                0.84675,                0.76522,                0.86492,                0.64025,                 1.0258,                0.88915,                  1.291,               0.000467,               0.000467,               0.000467
                     20,                 1.0546,                0.96294,                 1.3478,                0.85968,                0.77665,                0.87297,                0.65871,                 1.0019,                0.86009,                 1.2638,             0.00041041,             0.00041041,             0.00041041
                     21,                 1.0247,                0.92232,                 1.3205,                0.85862,                0.79573,                0.89113,                0.68914,                0.95222,                0.80964,                 1.2298,             0.00035382,             0.00035382,             0.00035382
                     22,                0.99676,                 0.8813,                  1.298,                0.89268,                0.81746,                0.90555,                0.70072,                0.93715,                0.74953,                 1.2163,             0.00029723,             0.00029723,             0.00029723
                     23,                0.97915,                 0.8477,                 1.2859,                  0.899,                0.83561,                0.91569,                0.71548,                0.90911,                 0.7182,                 1.1877,             0.00024064,             0.00024064,             0.00024064
                     24,                0.95162,                0.78599,                  1.259,                 0.8995,                0.85474,                0.92466,                0.73255,                  0.888,                0.68969,                 1.1778,             0.00018406,             0.00018406,             0.00018406
                     25,                0.92103,                0.76332,                 1.2411,                0.91332,                0.86358,                0.93406,                0.74757,                0.86135,                0.64862,                 1.1569,             0.00012747,             0.00012747,             0.00012747
