                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0953,                  1.135,                 1.3431,                0.82634,                 0.7777,                 0.8696,                0.65067,                0.99713,                0.86112,                   1.27,              0.0004737,              0.0004737,              0.0004737
                      2,                 1.1499,                 1.2701,                 1.3875,                0.78188,                0.73543,                0.81461,                0.58129,                 1.1243,                 1.0473,                 1.3786,             0.00093122,             0.00093122,             0.00093122
                      3,                 1.2238,                 1.3944,                 1.4252,                0.69239,                0.63874,                0.72429,                0.49022,                 1.2132,                 1.2257,                 1.4436,              0.0013699,              0.0013699,              0.0013699
