                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3599,                 4.4834,                 4.0991,                0.00268,                0.39312,                 0.0167,                0.00365,                 3.0701,                 3.6465,                 3.7822,              0.0033262,              0.0033262,              0.0033262
                      2,                  2.676,                 3.9468,                 3.2034,                0.44055,                0.06725,                0.02274,                0.00636,                 2.5716,                 3.7215,                 3.1755,              0.0065936,              0.0065936,              0.0065936
                      3,                 2.1574,                 3.4118,                 2.6022,                0.10067,                0.08975,                0.04088,                0.01567,                 2.3555,                 3.5064,                 3.0479,               0.009795,               0.009795,               0.009795
                      4,                 1.9266,                 3.0894,                 2.3457,                0.20133,                0.19743,                0.15015,                0.08013,                 2.0225,                 3.0132,                  2.718,               0.009703,               0.009703,               0.009703
                      5,                 1.7742,                 2.8743,                 2.1972,                0.28022,                0.25386,                0.24182,                0.13508,                 1.8122,                 2.6768,                  2.375,               0.009604,               0.009604,               0.009604
                      6,                 1.6875,                  2.725,                 2.0974,                0.43195,                0.28713,                0.28521,                0.16885,                 1.7083,                 2.4257,                 2.2127,               0.009505,               0.009505,               0.009505
                      7,                 1.6218,                 2.5824,                 2.0318,                0.41522,                0.29117,                0.30306,                0.17957,                 1.6894,                 2.2989,                 2.2009,               0.009406,               0.009406,               0.009406
                      8,                 1.5692,                 2.4821,                 1.9762,                0.52625,                0.32434,                0.35263,                0.21906,                 1.6257,                 2.1919,                 2.1174,               0.009307,               0.009307,               0.009307
                      9,                 1.5386,                 2.4107,                 1.9452,                0.52347,                0.34885,                0.37291,                0.23074,                 1.6323,                 2.1137,                 2.1227,               0.009208,               0.009208,               0.009208
                     10,                 1.5204,                 2.3364,                 1.9064,                0.51216,                0.35316,                0.39059,                0.23777,                 1.6309,                 2.0547,                 2.1027,               0.009109,               0.009109,               0.009109
                     11,                 1.4973,                  2.282,                 1.8862,                0.49393,                0.35935,                0.39796,                0.25234,                 1.5587,                  1.986,                  2.016,                0.00901,                0.00901,                0.00901
                     12,                 1.4671,                 2.2178,                 1.8587,                 0.5483,                0.38469,                0.42387,                0.26218,                  1.551,                   2.09,                 2.0195,               0.008911,               0.008911,               0.008911
